score_window,tp,fp,fn,precision,recall,f1
0.01,1,0,1,1.0,0.5,0.6666666666666666
0.03,1,0,1,1.0,0.5,0.6666666666666666
0.05,1,0,1,1.0,0.5,0.6666666666666666
0.07,1,0,1,1.0,0.5,0.6666666666666666
0.09,1,0,1,1.0,0.5,0.6666666666666666
0.11,1,0,1,1.0,0.5,0.6666666666666666
0.13,1,0,1,1.0,0.5,0.6666666666666666
0.15,1,0,1,1.0,0.5,0.6666666666666666
0.17,1,0,1,1.0,0.5,0.6666666666666666
0.19,1,0,1,1.0,0.5,0.6666666666666666
0.21,2,1,0,0.6666666666666666,1.0,0.8
0.23,2,5,0,0.2857142857142857,1.0,0.4444444444444445
0.25,2,10,0,0.16666666666666666,1.0,0.2857142857142857
0.27,2,20,0,0.09090909090909091,1.0,0.16666666666666669
0.29,2,38,0,0.05,1.0,0.09523809523809523
